latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-29.889,-61.329,308.4,1.2,1.1,2020-09-03,1745,Aqua,MODIS,49,6.0NRT,293.6,7.2,D
-29.879,-61.331,312.2,1.2,1.1,2020-09-03,1745,Aqua,MODIS,70,6.0NRT,294.1,10.9,D
-29.881,-61.343,306.8,1.2,1.1,2020-09-03,1745,Aqua,MODIS,60,6.0NRT,293.5,6.4,D
-29.933,-62.454,316.2,1.3,1.1,2020-09-03,1745,Aqua,MODIS,0,6.0NRT,296.1,16.5,D
-29.732,-61.047,312.5,1.1,1.1,2020-09-03,1745,Aqua,MODIS,70,6.0NRT,292.8,11.7,D
-29.78,-61.515,323.9,1.2,1.1,2020-09-03,1745,Aqua,MODIS,82,6.0NRT,294.5,24.4,D
-29.781,-61.527,321.3,1.2,1.1,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,294.5,21,D
-29.674,-61.638,313.7,1.2,1.1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,294.4,11.8,D
-29.637,-61.513,317.3,1.2,1.1,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,294.7,17,D
-29.638,-61.525,304.7,1.2,1.1,2020-09-03,1745,Aqua,MODIS,49,6.0NRT,293.5,5.1,D
-29.473,-60.93,313.8,1.1,1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,291.6,12.1,D
-29.474,-60.942,306,1.1,1.1,2020-09-03,1745,Aqua,MODIS,46,6.0NRT,290.1,5.8,D
-29.433,-60.925,308.1,1.1,1,2020-09-03,1745,Aqua,MODIS,57,6.0NRT,292.6,7.4,D
-29.447,-61.617,307,1.2,1.1,2020-09-03,1745,Aqua,MODIS,57,6.0NRT,296,5.6,D
-29.449,-61.63,315.1,1.2,1.1,2020-09-03,1745,Aqua,MODIS,72,6.0NRT,295.6,13.5,D
-29.371,-61.238,303.6,1.1,1.1,2020-09-03,1745,Aqua,MODIS,35,6.0NRT,293.5,3.9,D
-29.461,-62.076,314.5,1.2,1.1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,294.1,14.1,D
-29.451,-62.078,308.8,1.2,1.1,2020-09-03,1745,Aqua,MODIS,55,6.0NRT,295,8.1,D
-29.258,-60.908,314.5,1.1,1,2020-09-03,1745,Aqua,MODIS,71,6.0NRT,292.3,12.5,D
-28.943,-58.725,313.8,1,1,2020-09-03,1745,Aqua,MODIS,42,6.0NRT,298.4,7.1,D
-29.185,-60.904,311.8,1.1,1,2020-09-03,1745,Aqua,MODIS,67,6.0NRT,292,10.4,D
-28.842,-58.729,326.1,1,1,2020-09-03,1745,Aqua,MODIS,58,6.0NRT,293,19.9,D
-29.165,-61.47,319.7,1.2,1.1,2020-09-03,1745,Aqua,MODIS,77,6.0NRT,294.3,18.8,D
-29.023,-60.583,307.2,1.1,1,2020-09-03,1745,Aqua,MODIS,52,6.0NRT,293.4,4.6,D
-29.025,-60.594,305.9,1.1,1,2020-09-03,1745,Aqua,MODIS,44,6.0NRT,293.4,3.6,D
-28.995,-60.856,308.1,1.1,1,2020-09-03,1745,Aqua,MODIS,29,6.0NRT,293.4,6.2,D
-28.984,-60.846,309.1,1.1,1,2020-09-03,1745,Aqua,MODIS,56,6.0NRT,294.5,7,D
-28.986,-60.857,310.9,1.1,1,2020-09-03,1745,Aqua,MODIS,63,6.0NRT,292.3,8.6,D
-28.699,-59.734,311.7,1,1,2020-09-03,1745,Aqua,MODIS,46,6.0NRT,297.3,5,D
-28.467,-58.741,320.2,1,1,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,299,11.8,D
-28.458,-58.742,326.4,1,1,2020-09-03,1745,Aqua,MODIS,81,6.0NRT,297.2,17.9,D
-28.459,-58.752,312.9,1,1,2020-09-03,1745,Aqua,MODIS,31,6.0NRT,295.5,5.5,D
-28.388,-58.383,336.8,1,1,2020-09-03,1745,Aqua,MODIS,89,6.0NRT,297.9,34.6,D
-28.774,-61.188,322.5,1.1,1.1,2020-09-03,1745,Aqua,MODIS,78,6.0NRT,296.7,19.9,D
-28.379,-58.384,337.7,1,1,2020-09-03,1745,Aqua,MODIS,89,6.0NRT,297.2,34.4,D
-28.381,-58.395,326.3,1,1,2020-09-03,1745,Aqua,MODIS,81,6.0NRT,298.7,18.2,D
-28.762,-61.249,310.5,1.1,1.1,2020-09-03,1745,Aqua,MODIS,60,6.0NRT,293.6,7.7,D
-28.696,-61.038,308.1,1.1,1,2020-09-03,1745,Aqua,MODIS,49,6.0NRT,295.9,4.7,D
-28.537,-59.893,309.2,1,1,2020-09-03,1745,Aqua,MODIS,30,6.0NRT,294.8,5.2,D
-28.393,-59.186,325.9,1,1,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,299,17.8,D
-28.395,-59.196,313.8,1,1,2020-09-03,1745,Aqua,MODIS,54,6.0NRT,301,6.1,D
-28.302,-58.805,320.7,1,1,2020-09-03,1745,Aqua,MODIS,75,6.0NRT,301.1,10.5,D
-28.384,-59.387,309.2,1,1,2020-09-03,1745,Aqua,MODIS,24,6.0NRT,297.8,4.3,D
-28.23,-58.441,347.9,1,1,2020-09-03,1745,Aqua,MODIS,94,6.0NRT,295.3,52.9,D
-28.222,-58.437,324,1,1,2020-09-03,1745,Aqua,MODIS,79,6.0NRT,295.5,18.5,D
-28.448,-60.802,313.3,1.1,1,2020-09-03,1745,Aqua,MODIS,56,6.0NRT,298.7,6.9,D
-28.242,-59.351,341.6,1,1,2020-09-03,1745,Aqua,MODIS,91,6.0NRT,299.7,40.6,D
-28.244,-59.361,348.2,1,1,2020-09-03,1745,Aqua,MODIS,94,6.0NRT,299.4,52.7,D
-27.996,-58.534,337.6,1,1,2020-09-03,1745,Aqua,MODIS,89,6.0NRT,297.7,34,D
-28.139,-59.533,312.3,1,1,2020-09-03,1745,Aqua,MODIS,55,6.0NRT,300.7,6.5,D
-28.141,-59.543,310,1,1,2020-09-03,1745,Aqua,MODIS,37,6.0NRT,298.8,4.4,D
